pid,label,creator,_date,location_cdmx,repsa_location,location,object_type,order,layout,collection,thumbnail,full,manifest
obj8,Overgrown Sign,Elizabeth Bynum,18-Jun-18,REPSA,Outside Espacio Escultórico,Mexico City,Photograph,07,repsa_item,repsa,"/img/derivatives/iiif/images/obj8/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj8/full/full/0/default.jpg,/img/derivatives/iiif/obj8/manifest.json
obj5,Blue Sculpture,Elizabeth Bynum,22-Jun-18,REPSA,Paseo de las Esculturas,Mexico City,Photograph,04,repsa_item,repsa,"/img/derivatives/iiif/images/obj5/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj5/full/full/0/default.jpg,/img/derivatives/iiif/obj5/manifest.json
obj4,Fence and Flowers,Elizabeth Bynum,25-Jun-18,REPSA,Avenida Biomédicas,Mexico City,Photograph,03,repsa_item,repsa,"/img/derivatives/iiif/images/obj4/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj4/full/full/0/default.jpg,/img/derivatives/iiif/obj4/manifest.json
obj6,Fence with a View,Elizabeth Bynum,20-Jun-18,REPSA,Edge of Nucleo Oriente,Mexico City,Photograph,05,repsa_item,repsa,"/img/derivatives/iiif/images/obj6/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj6/full/full/0/default.jpg,/img/derivatives/iiif/obj6/manifest.json
obj7,Snake Etching,Elizabeth Bynum,22-Jun-18,REPSA,Senda Ecológica,Mexico City,Photograph,06,repsa_item,repsa,"/img/derivatives/iiif/images/obj7/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj7/full/full/0/default.jpg,/img/derivatives/iiif/obj7/manifest.json
obj3,Faded REPSA Sign,Elizabeth Bynum,20-Jun-18,REPSA,Edge of Nucleo Oriente,Mexico City,Photograph,02,repsa_item,repsa,"/img/derivatives/iiif/images/obj3/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj3/full/full/0/default.jpg,/img/derivatives/iiif/obj3/manifest.json
obj2,Espacio Escultórico Sign,Elizabeth Bynum,18-Jun-18,REPSA,Espacio Escultórico,Mexico City,Photograph,01,repsa_item,repsa,"/img/derivatives/iiif/images/obj2/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj2/full/full/0/default.jpg,/img/derivatives/iiif/obj2/manifest.json
obj1,Espacio Escultórico,Elizabeth Bynum,18-Jun-18,REPSA,Espacio Escultórico,Mexico City,Photograph,00,repsa_item,repsa,"/img/derivatives/iiif/images/obj1/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj1/full/full/0/default.jpg,/img/derivatives/iiif/obj1/manifest.json
obj9,Fence with Sculptures,Elizabeth Bynum,22-Jun-18,REPSA,Outside Paseo de las Esculturas,Mexico City,Photograph,08,repsa_item,repsa,"/img/derivatives/iiif/images/obj9/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj9/full/full/0/default.jpg,/img/derivatives/iiif/obj9/manifest.json
obj10,UNAM Biblioteca,Elizabeth Bynum,20-Jun-18,"Ciudad Universitaria, UNAM",,Mexico City,Photograph,09,repsa_item,repsa,"/img/derivatives/iiif/images/obj10/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj10/full/full/0/default.jpg,/img/derivatives/iiif/obj10/manifest.json
